method,executed_time,noise_rate,fm,uca,purity,silhouette
cm1-nearestneighbors01,0.19447898864746094,0.0011345218800647983,0.9320566716837512,1.0,0.9988654781199352,0.9137058
cm1-nearestneighbors02,0.21145009994506836,0.0009184224743381542,0.9322857406400279,1.0,0.9990815775256618,0.9209169
cm1-dbscan01,3.854696750640869,0.002377093462992974,0.9307400791888646,0.9283090221501891,0.997622906537007,0.7879277
cm1-dbscan02,4.716436386108398,0.0010264721772015317,0.9321711989554528,1.0,0.9989735278227985,0.91812754
cm1-dbscan03,4.849041700363159,0.0009184224743381542,0.9322857406400279,1.0,0.9990815775256618,0.9220984
cm1-dbscan04,5.549168348312378,0.0005942733657482435,0.9326294521194344,1.0,0.9994057266342518,0.9369793
cm1-optics01,25.875378608703613,0.004970286331712592,0.9280003331826754,1.0,0.9950297136682874,0.83682954
cm1-agglomerative,17.678894758224487,0.0003781739600215994,0.9328586650755786,0.9303079416531604,0.9996218260399784,0.9479519
cm1-localoutliner01,8.640908479690552,0.010048622366288451,0.9226583191758984,0.930686115613182,0.9899513776337115,0.791257
cm1-localoutliner02,8.85743761062622,0.005024311183144281,0.9279433325287264,0.930686115613182,0.9949756888168557,0.8401537
cm1-localoutliner03,8.747141361236572,0.0010264721772015317,0.9321711989554528,0.930686115613182,0.9989735278227985,0.91972697
cm1-localoutliner04,8.138421058654785,0.0005402485143165547,0.9326867499629834,0.930686115613182,0.9994597514856834,0.93949324
cm1-birch01,1.3643100261688232,0.0003781739600215994,0.9328586650755786,0.9303079416531604,0.9996218260399784,0.9479519
cm1-birch02,6.713816404342651,0.02528363047001625,0.90683133424096,0.9054024851431659,0.9747163695299838,0.71795326
cm1-kmeans,0.21140146255493164,0.27860615883306317,0.7033502114177549,0.6520799567801189,0.7213938411669368,0.5728206
cm2-nearestneighbors01,0.13866281509399414,0.0008103727714748876,0.9324002967323194,1.0,0.9991896272285251,0.9263166
cm2-nearestneighbors02,0.10570979118347168,0.0004321988114532882,0.9328013564416991,1.0,0.9995678011885467,0.94537896
cm2-dbscan01,2.0405468940734863,0.001188546731496487,0.9319994134543401,1.0,0.9988114532685035,0.9152422
cm2-dbscan02,2.840409278869629,0.0008103727714748876,0.9324002967323194,1.0,0.9991896272285251,0.9286816
cm2-dbscan03,3.6722402572631836,0.0007563479200431988,0.9324574105443709,0.9299297676931388,0.9992436520799568,0.895417
cm2-dbscan04,3.7589900493621826,0.0003781739600215994,0.9328586650755786,1.0,0.9996218260399784,0.9483993
cm2-optics01,21.523634910583496,0.0032414910858995505,0.9298262780601653,1.0,0.9967585089141004,0.8647745
cm2-agglomerative,12.170475482940674,0.0003781739600215994,0.9328586650755786,0.9303079416531604,0.9996218260399784,0.9483993
cm2-localoutliner01,6.732001066207886,0.010048622366288451,0.9226583191758984,0.930686115613182,0.9899513776337115,0.7928709
cm2-localoutliner02,6.75992226600647,0.005024311183144281,0.9279433325287264,0.930686115613182,0.9949756888168557,0.8413482
cm2-localoutliner03,6.715882778167725,0.0010264721772015317,0.9321711989554528,0.930686115613182,0.9989735278227985,0.9203928
cm2-localoutliner04,6.690627098083496,0.0005402485143165547,0.9326867499629834,0.930686115613182,0.9994597514856834,0.940022
cm2-birch01,0.7393805980682373,0.0003781739600215994,0.9328586650755786,0.9303079416531604,0.9996218260399784,0.9483992
cm2-birch02,1.4867627620697021,0.011237169097784938,0.9214127774545079,0.9194489465153971,0.9887628309022151,0.7843423
cm2-kmeans,0.1964271068572998,0.2784981091301999,0.7034057897760783,0.6521880064829821,0.7215018908698001,0.5807545
cm3-nearestneighbors01,0.14364933967590332,0.0005942733657482435,0.9326294521194344,1.0,0.9994057266342518,0.92687905
cm3-nearestneighbors02,0.12372255325317383,0.0004321988114532882,0.9328013564416991,1.0,0.9995678011885467,0.9368615
cm3-dbscan01,2.5701305866241455,0.0008103727714748876,0.9324002967323194,1.0,0.9991896272285251,0.9181017
cm3-dbscan02,3.3849217891693115,0.0006482982171799323,0.9325721578739495,1.0,0.9993517017828201,0.92664826
cm3-dbscan03,3.7023231983184814,0.0004321988114532882,0.9328013564416991,1.0,0.9995678011885467,0.9368615
cm3-dbscan04,4.337584733963013,0.0003781739600215994,0.9328586650755786,1.0,0.9996218260399784,0.94122326
cm3-optics01,22.976138591766357,0.003997839005942749,0.9290269685715512,1.0,0.9960021609940573,0.8346515
cm3-agglomerative,13.700763940811157,0.00032414910858991064,0.9329159773049479,0.9303619665045921,0.9996758508914101,0.94467604
cm3-localoutliner01,6.883531093597412,0.010048622366288451,0.9226583191758984,0.930686115613182,0.9899513776337115,0.7690064
cm3-localoutliner02,7.051053285598755,0.005024311183144281,0.9279433325287264,0.930686115613182,0.9949756888168557,0.82375515
cm3-localoutliner03,6.92353081703186,0.0010264721772015317,0.9321711989554528,0.930686115613182,0.9989735278227985,0.9107576
cm3-localoutliner04,6.631078481674194,0.0005402485143165547,0.9326867499629834,0.930686115613182,0.9994597514856834,0.93204623
cm3-birch01,0.6918916702270508,0.0008643976229065764,0.9323430168855312,0.9298217179902756,0.9991356023770934,0.91739905
cm3-birch02,1.1112258434295654,0.06607239330091841,0.8660307137305207,0.8646137223122636,0.9339276066990816,0.63365746
cm3-kmeans,0.1874985694885254,0.2925985953538628,0.6964332672361409,0.6380875202593193,0.7074014046461372,0.5824357
cm4-nearestneighbors01,0.13464045524597168,0.0006482982171799323,0.9325721578739495,1.0,0.9993517017828201,0.9386989
cm4-nearestneighbors02,0.10571479797363281,0.000486223662884977,0.9327440514039529,1.0,0.999513776337115,0.9457022
cm4-dbscan01,2.5611705780029297,0.0010264721772015317,0.9321711989554528,1.0,0.9989735278227985,0.92439073
cm4-dbscan02,3.446787118911743,0.0009184224743381542,0.9322855568354292,0.9297676931388439,0.9990815775256618,0.8779708
cm4-dbscan03,3.827770233154297,0.0004321988114532882,0.9328013564416991,1.0,0.9995678011885467,0.9482601
cm4-dbscan04,4.396808862686157,0.0003781739600215994,0.9328586650755786,1.0,0.9996218260399784,0.9510601
cm4-optics01,24.10751485824585,0.006428957320367412,0.9264625990232062,1.0,0.9935710426796326,0.8280299
cm4-agglomerative,15.69455075263977,0.0003781739600215994,0.9328586650755786,0.9303079416531604,0.9996218260399784,0.9510601
cm4-localoutliner01,6.568446159362793,0.010048622366288451,0.9226583191758984,0.930686115613182,0.9899513776337115,0.8005577
cm4-localoutliner02,6.534571647644043,0.005024311183144281,0.9279433325287264,0.930686115613182,0.9949756888168557,0.84710366
cm4-localoutliner03,6.484101295471191,0.0010264721772015317,0.9321711989554528,0.930686115613182,0.9989735278227985,0.9251647
cm4-localoutliner04,6.525076389312744,0.0005402485143165547,0.9326867499629834,0.930686115613182,0.9994597514856834,0.9433868
cm4-birch01,0.7305150032043457,0.0002160994057266441,0.9330306125475828,0.9304700162074554,0.9997839005942734,0.9587607
cm4-birch02,1.092531442642212,0.0009724473257698429,0.9322284679964534,0.9297136682874122,0.9990275526742302,0.92706215
cm4-kmeans,0.20844268798828125,0.2626148028092923,0.7119289816512216,0.6680713128038898,0.7373851971907077,0.5911225
